airport_ident,length_ft,width_ft,he_latitude_deg,he_longitude_deg
65LA,5000.0,100.0,,
65MD,1123.0,250.0,,
65MI,150.0,150.0,,
65MN,3000.0,100.0,,
65MO,30.0,30.0,,
65MS,1700.0,60.0,34.562400817871094,-89.88410186767578
65NC,200.0,100.0,,
65NM,3600.0,40.0,,
65NY,2600.0,75.0,,
65OH,2500.0,20.0,,
65OI,25.0,25.0,,
65OK,30.0,30.0,,
65OR,150.0,150.0,,
65PA,1710.0,100.0,,
65TE,2500.0,50.0,,
65TN,2200.0,60.0,,
65TS,1600.0,120.0,,
65TX,5000.0,100.0,,
65WA,1300.0,100.0,,
65WN,1800.0,75.0,,
65XA,1625.0,250.0,30.905725,-94.694931
65XS,2200.0,100.0,,
66AK,1700.0,200.0,,
66AR,2194.0,60.0,,
66AZ,40.0,40.0,,
66B,1635.0,50.0,,
66CA,1800.0,65.0,,
66CL,2200.0,100.0,,
66CN,100.0,100.0,,
66CO,15.0,15.0,,
66FD,1340.0,60.0,,
66FL,48.0,48.0,,
66G,2530.0,100.0,43.31389999389648,-83.70500183105469
66GA,1700.0,60.0,,
66II,2000.0,90.0,,
66IL,2000.0,100.0,,
66IN,1025.0,75.0,,
66KS,2640.0,150.0,,
66KY,2400.0,150.0,,
66LA,1600.0,80.0,,
66MI,2200.0,60.0,,
66MN,2500.0,100.0,,
66MO,900.0,75.0,,
66NC,2800.0,70.0,,
66NJ,150.0,150.0,,
66NY,2800.0,60.0,,
66OH,45.0,45.0,,
66OI,3000.0,100.0,,
66OK,2000.0,40.0,,
66OR,50.0,50.0,,
66PA,50.0,50.0,,
66S,3100.0,120.0,48.51449966430664,-116.8209991455078
66TA,50.0,50.0,,
66TE,2800.0,50.0,,
66TN,2679.0,50.0,35.52287673950195,-85.84201049804688
66TS,50.0,50.0,,
66TX,3750.0,50.0,,
66VA,60.0,60.0,,
66VT,1100.0,60.0,,
66WA,1800.0,60.0,,
66WI,1150.0,200.0,,
66XS,2200.0,50.0,,
67AK,2640.0,240.0,,
67AR,3100.0,50.0,,
67AZ,35.0,35.0,,
67CA,3000.0,20.0,37.07170104980469,-120.3730010986328
67CL,2000.0,75.0,,
67CN,114.0,50.0,,
67CO,1400.0,75.0,,
67D,2850.0,100.0,41.157901763916016,-82.20149993896484
67FD,40.0,40.0,,
67FD,40.0,40.0,,
67FL,3400.0,130.0,,
67GA,2300.0,50.0,,
67II,1800.0,80.0,,
67IL,2000.0,75.0,,
67IS,30.0,30.0,,
67KS,2240.0,70.0,,
67KY,1500.0,100.0,,
67LA,20.0,20.0,,
67LL,1600.0,70.0,,
67MD,1800.0,60.0,,
67ME,300.0,300.0,,
67MN,2700.0,90.0,,
67MO,2640.0,100.0,,
67MU,2710.0,100.0,39.453800201416016,-91.39109802246094
67NC,3000.0,100.0,,
67ND,2600.0,66.0,,
67NE,2765.0,93.0,,
67NJ,2100.0,50.0,,
67NY,325.0,100.0,,
67OG,1500.0,60.0,,
67OH,2450.0,90.0,,
67OI,30.0,30.0,,
67OK,1000.0,75.0,,
67OR,1960.0,90.0,,
67PA,60.0,60.0,,
67PN,2100.0,100.0,,
67S,4400.0,175.0,,
67SC,2042.0,100.0,32.9474983215332,-80.76439666748047
67TA,400.0,150.0,,
67TE,2400.0,100.0,,
67TS,50.0,14.0,,
67TT,3900.0,50.0,,
67TX,2764.0,30.0,,
67VA,1800.0,30.0,,
67WA,2000.0,25.0,,
67WI,2600.0,80.0,,
67XA,1400.0,150.0,,
67XS,80.0,80.0,,
68A,9000.0,360.0,,
68AK,20.0,20.0,,
68AR,1200.0,45.0,,
68AZ,3000.0,50.0,,
68AZ,1850.0,50.0,,
68C,2530.0,60.0,44.50719833374024,-89.02169799804688
68C,1800.0,120.0,44.50439834594727,-89.02230072021484
68C,1745.0,130.0,44.50379943847656,-89.02210235595703
68CA,3000.0,75.0,40.35710144042969,-122.21499633789062
68CL,4500.0,50.0,36.03960037231445,-119.64600372314452
68CN,2600.0,150.0,,
68FA,40.0,40.0,,
68FD,5280.0,50.0,,
68FL,50.0,50.0,,
68G,3068.0,100.0,43.12139892578125,-83.62670135498047
68GA,40.0,40.0,,
68ID,780.0,30.0,,
68II,30.0,40.0,,
68IL,2540.0,120.0,,
68IN,1200.0,50.0,,
68IS,3000.0,40.0,42.14860153198242,-88.556396484375
68JY,10000.0,1000.0,,
68KS,1300.0,50.0,,
68KS,2600.0,50.0,,
68KY,2400.0,75.0,,
68LA,3000.0,70.0,,
68LS,1300.0,60.0,31.81441,-91.369973
68LS,2500.0,80.0,31.8111,-91.37028
68MI,1665.0,125.0,,
68MI,1850.0,125.0,,
68MN,2200.0,60.0,,
68MO,100.0,75.0,,
68NC,2150.0,150.0,,
68NE,1700.0,60.0,,
68NJ,75.0,75.0,,
68NM,2700.0,60.0,,
68NR,47.0,47.0,,
68NY,2000.0,55.0,,
68OI,40.0,40.0,,
68OK,60.0,60.0,,
68OR,2000.0,60.0,,
68PA,1800.0,100.0,,
68PN,2250.0,100.0,,
68PS,30.0,30.0,,
68R,2580.0,100.0,,
68TA,20.0,20.0,,
68TE,2630.0,100.0,,
68TS,4600.0,31.0,,
68TT,100.0,100.0,,
68TX,3000.0,110.0,,
68TX,5000.0,120.0,,
68VA,48.0,48.0,,
68WA,2000.0,50.0,,
68WI,56.0,56.0,,
68XS,1900.0,75.0,,
68XS,2500.0,100.0,,
68Y,2912.0,198.0,43.73740005493164,-93.7771987915039
69AK,2000.0,200.0,,
69AZ,50.0,50.0,,
69CA,60.0,60.0,,
69CL,2600.0,50.0,,
69CO,87.0,71.0,,
69CT,60.0,8.0,,
69FA,100.0,100.0,,
69FD,1965.0,50.0,,
69FL,2300.0,150.0,,
69G,2471.0,100.0,42.43870162963867,-84.06420135498047
69GA,180.0,180.0,,
69GE,2500.0,75.0,,
69II,2000.0,85.0,,
69IL,2600.0,145.0,,
69IN,50.0,50.0,,
69KS,2600.0,80.0,,
69KY,30.0,30.0,,
69LA,48.0,48.0,,
69LL,2275.0,90.0,,
69MA,36.0,36.0,,
69MI,2625.0,50.0,,
69MN,2500.0,50.0,,
69MO,1800.0,60.0,,
69MT,2949.0,60.0,,
69MU,1568.0,60.0,39.76210021972656,-94.62740325927734
69MY,2600.0,80.0,,
69N,2455.0,50.0,40.766998291015625,-75.60479736328125
69NC,2200.0,120.0,,
69ND,1500.0,40.0,,
69NJ,100.0,100.0,,
69NY,100.0,100.0,,
69OH,1500.0,75.0,,
69OI,2400.0,60.0,,
69OK,2100.0,50.0,,
69OR,800.0,45.0,,
69PA,1100.0,80.0,,
69S,1975.0,40.0,48.99570083618164,-118.2229995727539
69TA,2400.0,50.0,,
69TE,2000.0,75.0,,
69TS,1500.0,100.0,,
69TX,4390.0,60.0,28.57889938354492,-96.8499984741211
69VA,3000.0,80.0,37.86100006103516,-77.41909790039062
69WA,96.0,62.0,,
69WI,130.0,80.0,,
69WT,4226.0,200.0,47.39051055908203,-122.44225311279295
69WT,5637.0,200.0,47.40319061279297,-122.44164276123048
69XA,2400.0,40.0,,
69XS,2800.0,30.0,,
6A5,2550.0,150.0,,
6A6,2600.0,250.0,43.75260162353516,-98.97589874267578
6A7,1200.0,100.0,,
6AK,2100.0,25.0,,
6AK1,2000.0,75.0,,
6AK2,1600.0,60.0,,
6AK3,1900.0,50.0,,
6AK5,900.0,50.0,,
6AK5,2800.0,75.0,,
6AK7,2000.0,65.0,,
6AK8,1200.0,100.0,,
6AK9,1320.0,100.0,,
6AL3,1300.0,75.0,,
6AL6,2500.0,150.0,,
6AL8,40.0,40.0,,
6AR0,2500.0,60.0,,
6AR1,1200.0,100.0,,
6AR2,2300.0,40.0,,
6AR3,60.0,60.0,,
6AR4,40.0,40.0,,
6AR7,40.0,40.0,,
6AR8,1400.0,75.0,35.32979965209961,-94.0395965576172
6AR8,2500.0,85.0,35.32659912109375,-94.04239654541016
6AR9,3000.0,150.0,36.41510009765625,-92.68939971923828
6AZ0,68.0,68.0,,
6AZ2,3400.0,80.0,,
6AZ2,5000.0,80.0,,
6AZ5,3000.0,30.0,,
6AZ6,40.0,40.0,,
6AZ7,175.0,60.0,,
6AZ8,2650.0,35.0,,
6B0,2500.0,50.0,,
6B3,1900.0,80.0,43.042999267578125,-84.00350189208984
6B4,2550.0,30.0,,
6B6,2770.0,48.0,42.46480178833008,-71.51719665527344
6B6,1600.0,70.0,42.45840072631836,-71.51399993896484
6C0,2995.0,100.0,42.32584381103516,-93.11427307128906
6C2,3112.0,150.0,,
6CA0,50.0,50.0,,
6CA1,2300.0,40.0,,
6CA2,65.0,65.0,,
6CA3,150.0,100.0,,
6CA4,45.0,45.0,,
6CA5,2800.0,40.0,,
6CA5,3000.0,60.0,,
6CA6,4000.0,33.0,,
6CA8,1800.0,90.0,,
6CA9,82.0,65.0,,
6CL0,1000.0,150.0,,
6CL2,25.0,25.0,,
6CL3,40.0,40.0,,
6CL4,1100.0,75.0,,
6CL5,75.0,75.0,,
6CL6,800.0,40.0,,
6CL7,35.0,30.0,,
6CL8,1700.0,30.0,,
6CL9,2500.0,50.0,,
6CO0,6750.0,110.0,,
6CO1,4000.0,100.0,,
6CO2,2400.0,60.0,,
6CO3,4800.0,25.0,,
6CO4,610.0,12.0,,
6CO5,15.0,15.0,,
6CO6,2600.0,35.0,,
6CO7,25.0,25.0,,
6CO8,60.0,60.0,,
6CO9,65.0,55.0,,
6D3,3200.0,100.0,47.97760009765625,-99.52239990234376
6D5,50.0,50.0,,
6D7,1725.0,60.0,41.22010040283203,-83.87339782714844
6D7,2480.0,70.0,41.21549987792969,-83.86859893798828
6F1,3300.0,60.0,34.71189880371094,-95.07219696044922
6F7,1845.0,100.0,,
6F7,3600.0,100.0,,
6F7,5000.0,80.0,,
6FA3,50.0,50.0,,
6FA8,50.0,50.0,,
6FD0,2600.0,100.0,,
6FD1,35.0,30.0,,
6FD2,2800.0,120.0,,
6FD4,100.0,75.0,,
6FD5,3000.0,80.0,,
6FD6,2500.0,50.0,,
6FD7,2750.0,105.0,,
6FD8,60.0,60.0,,
6FD9,200.0,100.0,,
6FL0,3000.0,200.0,,
6FL1,40.0,40.0,,
6FL2,1800.0,60.0,,
6FL3,4000.0,50.0,26.942699432373047,-81.56600189208984
6FL4,1800.0,200.0,,
6FL5,30.0,30.0,,
6FL6,65.0,65.0,,
6FL7,465.0,160.0,,
6FL8,2600.0,75.0,29.583999633789062,-82.87120056152344
6FL9,2200.0,50.0,,
6G6,2750.0,100.0,,
6G8,2822.0,100.0,42.09880065917969,-84.23989868164062
6GA0,2500.0,100.0,,
6GA1,2200.0,100.0,,
6GA2,100.0,150.0,,
6GA3,50.0,50.0,,
6GA4,3000.0,100.0,,
6GA5,2000.0,100.0,,
6GA6,50.0,50.0,,
6GA7,60.0,60.0,,
6GA8,2200.0,40.0,,
6GA9,30.0,30.0,,
6GE2,1800.0,60.0,,
6GE4,1593.0,100.0,,
6H4,2105.0,55.0,42.15560150146485,-84.33039855957031
6H8,3800.0,100.0,46.47700119018555,-100.26399993896484
6IA0,50.0,50.0,,
6IA1,100.0,100.0,,
6IA2,70.0,65.0,,
6IA3,40.0,40.0,,
6IA4,36.0,36.0,,
6IA6,2400.0,60.0,,
6IA7,1500.0,100.0,,
6IA8,30.0,30.0,,
6IA9,50.0,50.0,,
6ID1,2200.0,40.0,,
6II0,2700.0,100.0,,
6II1,12.0,10.0,,
6II2,1400.0,167.0,,
6II4,3400.0,30.0,37.98249816894531,-87.29309844970703
6II5,70.0,70.0,,
6II6,1700.0,75.0,,
6II7,1800.0,75.0,,
6II8,2200.0,100.0,,
6IL0,2640.0,100.0,,
6IL1,40.0,40.0,,
6IL2,2000.0,70.0,,
6IL3,1500.0,70.0,,
6IL3,1200.0,70.0,,
6IL4,2200.0,80.0,,
6IL5,1850.0,100.0,,
6IL6,3000.0,105.0,,
6IL6,2100.0,105.0,,
6IL7,100.0,100.0,,
6IL8,100.0,100.0,,
6IL9,1600.0,100.0,,
6IN0,14.0,20.0,,
6IN2,2600.0,100.0,,
6IN3,2600.0,80.0,,
6IN4,2400.0,70.0,,
6IN5,2140.0,60.0,,
6IN6,3000.0,100.0,,
6IN7,3500.0,500.0,,
6IN8,1800.0,75.0,,
6IN9,2500.0,1000.0,,
6IS0,2200.0,100.0,,
6IS1,100.0,100.0,,
6IS2,36.0,36.0,,
6IS4,44.0,44.0,,
6IS5,1000.0,350.0,,
6IS7,88.0,88.0,,
6IS8,2260.0,70.0,,
6IS9,70.0,70.0,,
6J6,2640.0,85.0,,
6J6,1584.0,56.0,,
6J8,4990.0,75.0,29.71910095214844,-82.65859985351562
6J8,2825.0,75.0,,
6JY8,80.0,80.0,,
6JY8,80.0,80.0,,
6K2,2300.0,46.0,39.80939865112305,-92.04989624023438
6K7,2250.0,60.0,,
6K9,2275.0,100.0,,
6KS0,40.0,40.0,,
6KS1,2600.0,75.0,,
6KS2,2600.0,100.0,,
6KS3,3800.0,60.0,,
6KS4,3003.0,88.0,,
6KS5,2500.0,92.0,,
6KS7,2000.0,50.0,,
6KS8,2650.0,50.0,,
6KS9,40.0,40.0,,
6KY0,40.0,40.0,,
6KY3,2060.0,50.0,,
6KY4,1800.0,75.0,,
6KY6,1500.0,80.0,,
6KY7,1200.0,60.0,,
6KY8,40.0,40.0,,
6LA0,600.0,150.0,,
6LA1,3500.0,75.0,,
6LA3,100.0,100.0,,
6LA4,2500.0,65.0,,
6LA5,2500.0,115.0,,
6LA6,3000.0,75.0,,
6LA7,50.0,40.0,,
6LA9,20.0,20.0,,
6LL0,2150.0,75.0,,
6LL1,1775.0,70.0,,
6LL2,1600.0,100.0,,
6LL4,1900.0,100.0,,
6LL5,2200.0,100.0,,
6LL6,2400.0,100.0,,
6LL7,100.0,100.0,,
6LL8,4000.0,50.0,,
6LL9,20.0,15.0,,
6M8,2700.0,60.0,35.52870178222656,-90.4001007080078
6MA0,3000.0,200.0,,
6MA1,25.0,25.0,,
6MA2,2000.0,75.0,,
6MA3,150.0,150.0,,
6MA4,70.0,70.0,,
6MA5,25.0,25.0,,
6MA6,70.0,70.0,,
6MA7,32.0,32.0,,
6MA8,3500.0,200.0,,
6MA8,3500.0,200.0,,
6MA9,2500.0,100.0,,
6MA9,2500.0,100.0,,
6MD1,1488.0,75.0,,
6MD2,3250.0,50.0,,
6MD3,1400.0,50.0,,
6MD4,2200.0,50.0,,
6MD6,42.0,42.0,,
6MD7,2450.0,65.0,,
6MD8,2750.0,105.0,,
6MD9,40.0,40.0,,
6MI0,2100.0,60.0,,
6MI1,1980.0,75.0,,
6MI2,1850.0,150.0,,
6MI3,2100.0,75.0,,
6MI4,20.0,20.0,,
6MI5,90.0,90.0,,
6MI6,1200.0,50.0,,
6MI6,2000.0,50.0,,
6MI7,2000.0,75.0,,
6MI8,20.0,20.0,,
6MI9,650.0,110.0,,
6MI9,550.0,110.0,,
6MN0,3700.0,130.0,47.05049896240234,-95.42340087890624
6MN2,2100.0,100.0,,
6MN4,4000.0,300.0,,
6MN4,6000.0,300.0,,
6MN5,4000.0,2000.0,,
6MN6,5000.0,200.0,,
6MN6,5000.0,200.0,,
6MN8,2600.0,150.0,,
6MN9,2000.0,75.0,,
6MO0,2200.0,150.0,,
6MO1,400.0,30.0,,
6MO2,1600.0,90.0,,
6MO3,2550.0,100.0,,
6MO4,2340.0,50.0,,
6MO5,40.0,40.0,,
6MO6,1800.0,100.0,,
6MO7,2700.0,50.0,,
6MO9,1400.0,60.0,,
6MO9,2200.0,60.0,,
6MS1,4000.0,65.0,,
6MS1,2800.0,60.0,,
6MS2,2700.0,50.0,,
6MT4,12000.0,500.0,48.02329635620117,-115.0518035888672
6MU4,2200.0,65.0,,
6MU5,1800.0,50.0,39.366744,-93.777675
6MU6,50.0,50.0,,
6MU8,30.0,30.0,,
6MU9,2500.0,100.0,,
6N5,37.0,37.0,,
6N5,44.0,44.0,,
6N5,44.0,44.0,,
6N5,44.0,44.0,,
6N6,5000.0,400.0,,
6N7,10000.0,1000.0,,
6N9,1850.0,75.0,,
6NA0,1600.0,60.0,,
6NA0,2640.0,60.0,,
6NA2,4000.0,80.0,,
6NA5,3800.0,100.0,,
6NA6,1600.0,40.0,,
6NC0,2800.0,54.0,,
6NC1,3000.0,40.0,35.59519958496094,-81.07689666748047
6NC2,1550.0,100.0,,
6NC3,3000.0,300.0,,
6NC4,1400.0,40.0,,
6NC4,1200.0,40.0,,
6NC5,1800.0,75.0,,
6NC6,25.0,25.0,,
6NC7,3000.0,80.0,,
6NC8,2500.0,60.0,,
6NC9,3000.0,60.0,,
6NC9,1000.0,100.0,,
6ND2,3500.0,60.0,,
6ND3,2500.0,75.0,,
6ND3,2500.0,75.0,,
6ND6,2200.0,40.0,,
6ND9,3100.0,75.0,,
6NE0,3020.0,80.0,,
6NE3,4000.0,40.0,,
6NE7,2100.0,125.0,,
6NE8,2600.0,100.0,,
6NJ1,1300.0,100.0,,
6NJ2,100.0,100.0,,
6NJ3,100.0,100.0,,
6NJ5,75.0,75.0,,
6NJ6,80.0,80.0,,
6NJ7,5000.0,500.0,,
6NJ8,1535.0,100.0,,
6NJ9,2000.0,70.0,,
6NK,2660.0,43.0,,
6NK0,1600.0,54.0,,
6NK1,900.0,60.0,,
6NK2,2200.0,100.0,,
6NK3,40.0,40.0,,
6NK4,1800.0,50.0,,
6NK5,45.0,45.0,,
6NK6,60.0,50.0,,
6NK7,45.0,45.0,,
6NK8,2386.0,418.0,,
6NK9,40.0,40.0,,
6NR6,1250.0,60.0,,
6NY1,1700.0,50.0,,
6NY2,1350.0,75.0,,
6NY3,1600.0,50.0,,
6NY4,2000.0,50.0,,
6NY5,50.0,50.0,,
6NY6,3500.0,500.0,,
6NY6,2000.0,500.0,,
6NY6,4500.0,500.0,,
6NY7,2600.0,75.0,,
6NY8,60.0,60.0,,
6NY9,50.0,50.0,,
6OG3,3200.0,80.0,,
6OH0,40.0,40.0,,
6OH1,1350.0,50.0,,
6OH2,25.0,25.0,,
6OH3,2400.0,75.0,,
6OH4,1000.0,40.0,,
6OH4,1770.0,50.0,,
6OH5,60.0,60.0,,
6OH6,2500.0,50.0,,
6OH6,1575.0,40.0,,
6OH7,2100.0,50.0,,
6OH8,25.0,25.0,,
6OH9,2800.0,100.0,,
6OI0,1800.0,80.0,,
6OI4,40.0,25.0,,
6OI5,2400.0,80.0,,
6OI6,118.0,110.0,,
6OI8,55.0,55.0,,
6OI9,75.0,75.0,,
6OK0,2600.0,100.0,,
6OK1,1970.0,40.0,,
6OK2,1986.0,100.0,,
6OK3,2013.0,60.0,,
6OK4,48.0,48.0,,
6OK6,2400.0,120.0,,
6OK7,2300.0,50.0,,
6OK8,2500.0,50.0,,
6OK9,2670.0,100.0,,
6OR0,1500.0,100.0,,
6OR1,1600.0,60.0,,
6OR2,2450.0,75.0,,
6OR3,80.0,80.0,,
6OR4,1700.0,100.0,,
6OR5,50.0,50.0,,
6OR6,1100.0,50.0,,
6OR7,2300.0,55.0,,
6OR9,2800.0,100.0,,
6P3,2223.0,30.0,43.1786994934082,-89.44709777832031
6PA0,2500.0,200.0,,
6PA1,500.0,100.0,,
6PA2,45.0,45.0,,
6PA3,2273.0,140.0,,
6PA4,2000.0,100.0,,
6PA5,2400.0,30.0,,
6PA6,1600.0,100.0,,
6PA7,2144.0,185.0,,
6PA8,1550.0,100.0,,
6PN2,70.0,70.0,,
6PN3,106.0,76.0,,
6PN4,60.0,60.0,,
6PN5,1300.0,100.0,,
6PN6,33.0,33.0,,
6PN7,60.0,60.0,,
6PN8,200.0,200.0,,
6PN9,2000.0,120.0,,
6PS0,40.0,40.0,,
6PS2,100.0,100.0,,
6PS3,1600.0,100.0,,
6PS4,50.0,50.0,,
6PS5,40.0,40.0,,
6PS6,65.0,65.0,,
6PS8,1475.0,100.0,,
6PS9,95.0,95.0,,
6Q0,27.0,27.0,,
6R1,2700.0,50.0,30.24370002746582,-92.82749938964844
6R1,2200.0,150.0,30.241300582885746,-92.82630157470705
6R5,1420.0,75.0,,
6R5,1500.0,80.0,,
6R5,830.0,60.0,,
6S4,1940.0,50.0,,
6S6,2500.0,60.0,,
6S9,2630.0,100.0,,
6SC1,2500.0,90.0,,
6SD4,3468.0,100.0,,
6T2,50.0,50.0,,
6TA0,4200.0,105.0,,
6TA1,30.0,30.0,,
6TA2,2600.0,60.0,,
6TA3,2500.0,50.0,,
6TA4,6300.0,64.0,,
6TA5,40.0,20.0,,
6TA5,40.0,20.0,,
6TA5,40.0,20.0,,
6TA5,40.0,20.0,,
6TA5,40.0,20.0,,
6TA5,40.0,20.0,,
6TA6,60.0,60.0,,
6TA7,1800.0,70.0,,
6TA8,2200.0,75.0,,
6TE0,2500.0,150.0,,
6TE0,1350.0,100.0,,
6TE1,4000.0,300.0,,
6TE2,1200.0,100.0,,
6TE3,2700.0,60.0,,
6TE5,5440.0,65.0,,
6TE6,5086.0,75.0,33.648101806640625,-100.34600067138672
6TE7,4000.0,34.0,,
6TE8,3455.0,25.0,,
6TE8,2190.0,25.0,33.16669845581055,-100.197998046875
6TE9,2840.0,35.0,,
6TN0,20.0,20.0,,
6TN1,3370.0,60.0,,
6TN2,20.0,20.0,,
6TN3,200.0,200.0,,
6TN4,1800.0,100.0,,
6TN5,50.0,50.0,,
6TN6,40.0,40.0,,
6TN7,3000.0,200.0,,
6TN8,40.0,40.0,,
6TN9,1400.0,60.0,,
6TS0,2600.0,50.0,,
6TS1,2000.0,30.0,,
6TS2,1900.0,50.0,,
6TS4,2600.0,90.0,,
6TS5,30.0,30.0,,
6TS6,2600.0,40.0,,
6TS7,100.0,100.0,,
6TS8,2300.0,30.0,,
6TS9,30.0,30.0,,
6TX0,100.0,70.0,,
6TX1,20.0,20.0,,
6TX2,2360.0,100.0,,
6TX3,3800.0,100.0,,
6TX4,3000.0,50.0,,
6TX5,38.0,38.0,,
6TX6,2500.0,50.0,,
6TX7,2600.0,65.0,,
6TX8,1900.0,100.0,,
6TX9,5000.0,60.0,,
6U5,2200.0,75.0,,
6U5,2160.0,200.0,,
6U5,1960.0,75.0,,
6U6,3140.0,60.0,,
6U6,1230.0,50.0,,
6VA0,1400.0,40.0,,
6VA1,25.0,25.0,,
6VA2,4000.0,100.0,,
6VA3,40.0,40.0,,
6VA4,1400.0,60.0,,
6VA6,30.0,30.0,,
6VA7,75.0,75.0,,
6VA8,50.0,50.0,,
6VA9,2800.0,100.0,,
6W0,2265.0,45.0,,
6W4,1735.0,150.0,,
6W6,2550.0,100.0,,
6WA0,50.0,50.0,,
6WA1,80.0,80.0,,
6WA2,1800.0,40.0,,
6WA2,5000.0,100.0,,
6WA3,2554.0,60.0,46.61330032348633,-119.2750015258789
6WA4,4500.0,40.0,,
6WA5,1000.0,30.0,,
6WA6,3000.0,60.0,,
6WA7,45.0,45.0,,
6WA8,16.0,12.0,,
6WA9,40.0,40.0,,
6WI0,2000.0,110.0,,
6WI1,1400.0,80.0,,
6WI2,1700.0,100.0,,
6WI3,2000.0,60.0,,
6WI4,2600.0,60.0,,
6WI5,2800.0,50.0,,
6WI6,1340.0,100.0,,
6WI7,1800.0,70.0,,
6WI8,40.0,40.0,,
6WI9,2500.0,75.0,,
6WN5,3000.0,100.0,,
6WN6,2800.0,75.0,,
6X0,2700.0,30.0,,
6XS0,50.0,50.0,,
6XS1,60.0,60.0,,
6XS1,50.0,50.0,,
6XS2,2200.0,80.0,,
6XS2,2850.0,90.0,,
6XS3,1980.0,30.0,,
6XS4,2600.0,100.0,,
6XS4,1600.0,150.0,,
6XS5,3100.0,100.0,,
6XS6,90.0,90.0,,
6XS7,1900.0,40.0,,
6XS7,3200.0,100.0,,
6XS8,1700.0,50.0,,
6XS9,1700.0,50.0,,
6Y0,2797.0,100.0,44.4651985168457,-84.99210357666016
6Y0,2599.0,100.0,44.46329879760742,-84.99210357666016
6Y2,50.0,50.0,,
6Y6,2600.0,120.0,44.36479949951172,-84.3927993774414
6Y6,2600.0,110.0,44.36149978637695,-84.40239715576172
6Y8,2512.0,30.0,45.72050094604492,-85.51570129394531
6Y8,3500.0,140.0,45.71689987182617,-85.52020263671875
6Y9,2000.0,100.0,,
70AK,2800.0,50.0,,
70AR,2400.0,75.0,,
70AZ,20.0,20.0,,
70AZ,20.0,20.0,,
70B,4000.0,500.0,,
70CA,50.0,50.0,,
70CL,1625.0,50.0,36.30400085449219,-116.41699981689452
70CO,30.0,30.0,,
70D,2400.0,50.0,,
70FA,2682.0,110.0,,
70FD,50.0,50.0,,
70FL,50.0,50.0,,
70II,1500.0,80.0,,
70IL,1205.0,70.0,,
70IN,2700.0,80.0,,
70IS,60.0,60.0,,
70K,2100.0,70.0,,
70KY,2700.0,60.0,,
70LA,2500.0,200.0,,
70LL,3600.0,80.0,,
70MA,50.0,50.0,,
70MD,2200.0,75.0,,
70MD,2200.0,140.0,,
70ME,4000.0,500.0,,
70MN,2000.0,100.0,,
70MO,1425.0,50.0,,
70MY,4500.0,1000.0,,
70MY,10000.0,1000.0,,
70N,2431.0,42.0,41.349998,-75.413002
70NC,3000.0,75.0,,
70NJ,1600.0,50.0,,
70NR,2655.0,80.0,,
70NY,150.0,150.0,,
70OH,2660.0,50.0,,
70OI,21.0,21.0,,
70OK,2640.0,125.0,,
70OR,1600.0,75.0,,
70PA,80.0,80.0,,
70PN,2000.0,120.0,,
70PR,40.0,40.0,,
70S,2481.0,30.0,47.78379821777344,-117.35800170898438
70TA,150.0,150.0,,
70TE,3180.0,50.0,,
70TS,65.0,65.0,,
70TT,1515.0,20.0,,
70TX,20.0,20.0,,
70VA,1800.0,50.0,,
70WA,50.0,50.0,,
70WI,2600.0,100.0,,
70XS,2950.0,100.0,,
71AK,2000.0,100.0,,
71AL,1800.0,60.0,,
71AR,1910.0,30.0,,
71AZ,60.0,40.0,,
71CA,100.0,65.0,,
71CL,2570.0,40.0,,
71CO,35.0,35.0,,
71FD,15.0,15.0,,
71FL,60.0,60.0,,
71GA,100.0,70.0,,
71IL,44.0,48.0,,
71IN,1700.0,75.0,,
71K,2520.0,30.0,37.64419937133789,-97.38359832763672
71KS,1900.0,50.0,,
71KY,1600.0,100.0,,
71LL,2600.0,70.0,,
71ME,1100.0,50.0,,
71MI,1420.0,60.0,,
71MN,6000.0,2000.0,,
71MO,3000.0,80.0,,
71NC,3000.0,200.0,,
71NC,1000.0,200.0,,
71NY,90.0,60.0,,
71OH,1300.0,50.0,,
71OK,1940.0,165.0,,
71OR,1500.0,25.0,,
71PA,32.0,32.0,,
71PN,2000.0,100.0,,
71TA,2000.0,60.0,,
71TA,4400.0,80.0,,
71TE,3450.0,40.0,30.373300552368164,-98.37670135498048
71TX,1500.0,50.0,,
71VA,40.0,40.0,,
71WI,12.0,12.0,,
71XA,2500.0,50.0,,
71XS,2200.0,30.0,,
72AK,300.0,300.0,,
72AR,2200.0,50.0,,
72AZ,50.0,50.0,,
72CA,30.0,25.0,,
72CL,3200.0,30.0,34.12969970703125,-115.11900329589844
72CO,3000.0,50.0,,
72FA,55.0,55.0,,
72FD,160.0,70.0,,
72FL,1800.0,200.0,,
72GA,2600.0,150.0,,
72II,50.0,50.0,,
72IL,60.0,44.0,,
72IN,2640.0,80.0,,
72IS,1800.0,70.0,,
72K,2550.0,50.0,,
72KS,1700.0,65.0,,
72KY,1500.0,50.0,,
72LA,20.0,20.0,,
72LL,2641.0,70.0,,
72ME,1200.0,25.0,,
72MI,5000.0,75.0,46.285400390625,-89.2677001953125
72MU,40.0,40.0,,
72NC,36.0,26.0,,
72ND,2600.0,75.0,,
72NE,1800.0,80.0,,
72NM,4752.0,80.0,,
72NY,60.0,60.0,,
72OH,2000.0,75.0,,
72OI,400.0,100.0,,
72OK,60.0,60.0,,
72OR,2000.0,60.0,,
