airport_ident,length_ft,width_ft,he_latitude_deg,he_longitude_deg
03CA,40.0,40.0,,
03CO,4000.0,30.0,40.20830154418945,-104.73999786376952
03FA,2000.0,200.0,,
03FD,2000.0,50.0,,
03FL,50.0,40.0,,
03GA,1990.0,65.0,,
03GA,1955.0,60.0,,
03I,2375.0,90.0,,
03IA,2000.0,150.0,,
03ID,1800.0,100.0,,
03II,1000.0,200.0,,
03IL,2600.0,105.0,,
03IS,40.0,40.0,,
03KS,25.0,25.0,,
03KY,2300.0,80.0,,
03LA,60.0,60.0,,
03LS,40.0,40.0,,
03M,3800.0,200.0,,
03MA,1600.0,60.0,,
03MD,50.0,50.0,,
03ME,2400.0,90.0,,
03MI,20.0,20.0,,
03MN,1940.0,75.0,,
03MO,2200.0,50.0,,
03MS,60.0,60.0,,
03MU,2400.0,24.0,,
03N,2400.0,50.0,,
03NC,2750.0,40.0,,
03ND,2600.0,50.0,,
03NE,2200.0,200.0,,
03NH,12.0,80.0,,
03NV,3200.0,30.0,,
03NY,2000.0,75.0,,
03OH,2100.0,60.0,,
03OH,2200.0,60.0,,
03OI,60.0,60.0,,
03OK,1200.0,50.0,,
03OL,1900.0,30.0,,
03OR,2950.0,60.0,,
03PA,130.0,80.0,,
03PN,100.0,100.0,,
03PR,2926.0,65.0,,
03PS,675.0,90.0,,
03PS,925.0,90.0,,
03PS,1130.0,90.0,,
03S,2115.0,100.0,,
03SC,40.0,40.0,,
03TE,3500.0,100.0,,
03TN,20.0,20.0,,
03TS,90.0,90.0,,
03TT,3000.0,50.0,,
03TX,150.0,150.0,,
03UT,5000.0,35.0,,
03UT,3250.0,35.0,,
03WA,2800.0,60.0,,
03WI,1500.0,60.0,,
03WN,2000.0,70.0,,
03XA,54.0,54.0,,
03XS,3200.0,50.0,,
03XS,1600.0,50.0,,
04AA,1300.0,100.0,,
04AA,825.0,68.0,,
04AL,100.0,100.0,,
04AR,40.0,40.0,,
04CA,8000.0,150.0,34.5667,-117.6575
04CL,1900.0,100.0,,
04CT,50.0,100.0,,
04F,2400.0,20.0,,
04FA,2620.0,212.0,,
04FL,3000.0,100.0,,
04I,2382.0,120.0,39.91310119628906,-83.18470001220703
04IA,2310.0,84.0,,
04ID,3000.0,25.0,,
04II,1372.0,72.0,,
04IL,1700.0,70.0,,
04IN,4000.0,1000.0,,
04IS,2200.0,150.0,,
04KS,400.0,60.0,,
04KY,1700.0,30.0,,
04LA,40.0,40.0,,
04LL,3700.0,70.0,,
04LS,60.0,60.0,,
04MA,2100.0,300.0,,
04MD,50.0,50.0,,
04ME,1950.0,120.0,,
04MI,2000.0,100.0,,
04MN,2500.0,150.0,,
04MO,2600.0,150.0,,
04MS,3400.0,100.0,32.934898376464844,-90.8373031616211
04MT,2100.0,100.0,,
04MT,1900.0,100.0,,
04NC,91.0,35.0,,
04NE,2500.0,100.0,,
04NJ,3500.0,50.0,,
04NR,78.0,36.0,,
04NV,3240.0,45.0,35.75920104980469,-115.66200256347656
04NY,5200.0,50.0,,
04OG,50.0,100.0,,
04OH,2200.0,70.0,,
04OK,45.0,45.0,,
04PA,100.0,100.0,,
04PN,70.0,70.0,,
04SC,50.0,50.0,,
04SD,46.0,46.0,,
04TA,60.0,40.0,,
04TE,30.0,30.0,,
04TN,3000.0,50.0,,
04TS,20.0,20.0,,
04TT,4645.0,55.0,29.706689834594727,-99.54586029052734
04TX,2000.0,50.0,,
04UT,3700.0,50.0,,
04V,7745.0,55.0,38.09410095214844,-106.16300201416016
04VA,50.0,50.0,,
04VG,3500.0,80.0,,
04VG,1800.0,70.0,,
04VT,1300.0,40.0,,
04W,2751.0,75.0,46.02439880371094,-92.89019775390624
04WA,1800.0,60.0,,
04WI,1800.0,100.0,,
04WN,4100.0,60.0,,
04WV,40.0,40.0,,
04XS,80.0,60.0,,
05AK,2000.0,75.0,,
05AL,1600.0,50.0,,
05AL,1600.0,50.0,,
05AL,1600.0,50.0,,
05AL,1600.0,50.0,,
05AL,1600.0,50.0,,
05AL,1600.0,50.0,,
05AN,1250.0,100.0,,
05AR,2000.0,100.0,,
05AZ,40.0,40.0,,
05B,4000.0,200.0,,
05CA,78.0,78.0,,
05CL,3700.0,60.0,38.60860061645508,-122.38600158691406
05CO,2650.0,60.0,,
05CT,50.0,50.0,,
05FA,2950.0,100.0,,
05FD,95.0,95.0,,
05FL,3200.0,60.0,,
05FL,1600.0,50.0,,
05GA,2200.0,60.0,,
05IA,2450.0,65.0,,
05ID,2000.0,70.0,,
05II,1800.0,100.0,,
05IL,3200.0,70.0,,
05IN,2000.0,100.0,,
05IS,2000.0,100.0,,
05KS,2350.0,50.0,,
05KT,600.0,50.0,,
05KY,1270.0,150.0,,
05LA,2200.0,70.0,,
05LL,120.0,120.0,,
05LS,2300.0,100.0,31.252899169921875,-92.47550201416016
05MA,100.0,40.0,,
05MD,2700.0,80.0,,
05ME,900.0,40.0,,
05MO,30.0,30.0,,
05MS,40.0,40.0,,
05NC,40.0,40.0,,
05NE,3210.0,80.0,,
05NH,100.0,100.0,,
05NJ,60.0,60.0,,
05NY,75.0,75.0,,
05OG,50.0,50.0,,
05OI,2000.0,100.0,,
05OK,2200.0,90.0,,
05OR,2600.0,50.0,,
05OR,75.0,75.0,,
05PA,70.0,70.0,,
05PN,120.0,120.0,,
05PS,2319.0,100.0,40.14599990844727,-77.86000061035156
05S,2940.0,45.0,,
05TA,1700.0,40.0,,
05TE,1500.0,50.0,,
05TS,1700.0,90.0,,
05TX,2075.0,50.0,,
05UT,3950.0,50.0,37.02870178222656,-110.31400299072266
05V,6160.0,52.0,37.41749954223633,-105.5459976196289
05VA,2000.0,40.0,,
05VT,80.0,80.0,,
05WA,40.0,40.0,,
05WI,1800.0,60.0,,
05WN,1700.0,50.0,,
05XS,2600.0,100.0,,
05Y,3280.0,200.0,46.299598693847656,-95.44229888916016
06AK,2000.0,40.0,,
06AL,1600.0,75.0,,
06AL,1600.0,75.0,,
06AL,1600.0,75.0,,
06AL,1600.0,75.0,,
06AL,1600.0,75.0,,
06AL,1600.0,75.0,,
06AL,1600.0,75.0,,
06AR,2900.0,125.0,,
06AZ,80.0,80.0,,
06B,15000.0,4000.0,,
06CA,20.0,20.0,,
06CL,46.0,46.0,,
06CO,4500.0,75.0,,
06FA,7003.0,150.0,26.90819931030273,-80.31770324707031
06FD,3400.0,120.0,,
06FL,200.0,100.0,,
06GA,300.0,300.0,,
06I,16000.0,3500.0,,
06IA,1750.0,100.0,,
06ID,2200.0,80.0,,
